Parth_Priority,Claude_Priority,Location_Tier,Priority_Score,Action,Difficulty_Tier,Company,Role,Location,Competitiveness_Score,Resume_Match_Score,Cold_Email_Score,Recency_Score,Apply_Link,Date_Posted
88.5,82.0,1,64,Apply Soon,4,Coherent,Intern Firmware Engineer,"Fremont, CA",8,7,6,10,"=HYPERLINK(""https://hcwp.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2010917?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
88.5,82.0,1,64,Apply Soon,4,Coherent,Intern – Embedded System Engineer,"Fremont, CA",8,7,6,10,"=HYPERLINK(""https://hcwp.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2010918?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
86.5,79.0,1,61,Apply Soon,3,The Boeing Company,Millennium Space Systems Intern Program - Ground Software Engineering,"Chantilly, VA | El Segundo, CA",8,7,4,10,"=HYPERLINK(""https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---El-Segundo-CA/Millennium-Space-Systems-Summer-2026-Internship-Program---Ground-Software-Engineering_JR2026498959-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
86.5,79.0,1,61,Apply Soon,3,Robert Half,Software Engineer Intern,"San Ramon, CA",8,7,4,10,"=HYPERLINK(""https://roberthalf.wd1.myworkdayjobs.com/roberthalfcareers/job/SAN-RAMON/Software-Engineer-Virtual-Internship_JR-259698?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
86.5,79.0,1,61,Apply Soon,3,Skydio,GTM Data Engineer Intern,"San Mateo, CA",8,7,4,10,"=HYPERLINK(""https://jobs.ashbyhq.com/skydio/b90b9b3b-e326-4fb6-85bd-fe52bec5f180/application?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
86.5,79.0,1,61,Apply Soon,3,Dentsu,Dentsu Summer Experience Program – Internships in Data Experience - AI,"NYC | Chicago, IL",8,7,4,10,"=HYPERLINK(""https://dentsuaegis.wd3.myworkdayjobs.com/DAN_GLOBAL/job/New-York/Dentsu-Summer-Experience-Program---Internships-in-Data-Experience---AI_R1117165?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
86.5,79.0,1,61,Apply Soon,3,TikTok,Data Scientist Intern - Tiktok Integrity and Safety - 2026 Summer,"San Jose, CA",8,7,4,10,"=HYPERLINK(""https://lifeattiktok.com/search/7610543185362372917?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
84.5,79.5,1,62,Apply Soon,3,Elsevier,Simulation Software Engineer Intern,5 locationsNYC | Florida | Massachusetts | Pennsylvania | North Carolina,8,7,6,9,"=HYPERLINK(""https://relx.wd3.myworkdayjobs.com/ElsevierJobs/job/Pennsylvania/Simulation-Software-Engineer-Intern_R110008?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-02
84.5,79.5,1,62,Apply Soon,3,Serval,Software Engineer Intern,SF,8,7,6,9,"=HYPERLINK(""https://jobs.ashbyhq.com/Serval/d7fb089c-db8a-4877-a5f3-73a09e67f54b/application?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-02
84.5,79.5,1,62,Apply Soon,3,PG&E,Data Scientist Intern - System Performance Monitoring,"Oakland, CA",8,7,6,9,"=HYPERLINK(""https://careers.pge.com/job/Oakland-Data-Scientist-Intern-System-Performance-Monitoring-CA-94612/1369422200/?ats=successfactors&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
84.5,79.5,1,62,Apply Soon,3,ID.me,University 2026 People AI & Intelligence Intern,"Mountain View, CA",8,7,6,9,"=HYPERLINK(""https://job-boards.greenhouse.io/idmeuniversityrecruiting/jobs/7648974003?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
84.5,79.5,1,62,Apply Soon,3,Johnson & Johnson,AI/ML Intern - Computer Vision,"5 locationsEdison, NJ | Washington, DC | Bridgewater Township, NJ | San Diego, CA | Ambler, PA",8,7,6,9,"=HYPERLINK(""https://jj.wd5.myworkdayjobs.com/JJ/job/San-Diego-California-United-States-of-America/AI-ML-Intern--Computer-Vision_R-060024?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
84.5,79.5,1,62,Apply Soon,3,The Boeing Company,Flight Software Intern,"El Segundo, CA",8,7,6,9,"=HYPERLINK(""https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---El-Segundo-CA/Millennium-Space-Systems-Summer-2026-Internship-Program---Flight-Software-Intern_JR2026498874-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
84.5,79.5,1,62,Apply Soon,3,Advanced Energy,Intern Firmware Engineer,4 locationsMinnesota | Massachusetts | Colorado | California,8,7,6,9,"=HYPERLINK(""https://jobs.advanced-energy.com/job/Wilmington-Intern-Firmware-Engineer-Summer-2026-MA-01887/1369220600/?ats=successfactors&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
84.0,82.5,1,64,Apply Soon,1,Cisco,AI/ML Modeling Engineer 2 - Intern,"Milpitas, CA | San Jose, CA | SF",8,8,7,8,"=HYPERLINK(""https://careers.cisco.com/global/en/job/2008901?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
84.0,75.0,1,58,Apply Soon,3,The Boeing Company,Millennium Space Systems Intern Program - Ground Software Engineering,"Chantilly, VA | El Segundo, CA",8,6,4,10,"=HYPERLINK(""https://boeing.wd1.myworkdayjobs.com/INTERN/job/USA---El-Segundo-CA/Millennium-Space-Systems-Summer-2026-Internship-Program---Ground-Software-Engineering_JR2026498959?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
84.0,75.0,1,58,Apply Soon,3,Cohesity,Sales Enablement Intern Data Analyst,"Lake Mary, FL | Santa Clara, CA",8,6,4,10,"=HYPERLINK(""https://cohesity.wd5.myworkdayjobs.com/Cohesity_Careers/job/Heathrow-FL---USA-Office/Sales-Enablement-Intern--Data-Analytics_R02804?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
82.5,76.5,1,58,Apply Soon,3,Sargent & Lundy,AI & Automation Intern - Summer 2026,"Chicago, IL",8,7,4,9,"=HYPERLINK(""https://careers-sargentlundy.icims.com/jobs/22818/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
82.5,76.5,1,58,Apply Soon,3,KBR,National Security Solutions – Internship – AI Engineer Intern - Nss,"El Segundo, CA",8,7,4,9,"=HYPERLINK(""https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/El-Segundo-California/National-Security-Solutions--NSS--Internship---AI-Engineer-Intern_R2119798?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
82.5,76.5,1,58,Apply Soon,3,The Boeing Company,Flight Software Intern,"El Segundo, CA",8,7,4,9,"=HYPERLINK(""https://boeing.wd1.myworkdayjobs.com/INTERN/job/USA---El-Segundo-CA/Millennium-Space-Systems-Summer-2026-Internship-Program---Flight-Software-Intern_JR2026498874?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
81.5,71.0,1,61,Apply Soon,3,LPL Financial Holdings,Intern - Technology - Software Developer,"Fort Mill, SC | San Diego, CA | Austin, TX",6,5,4,10,"=HYPERLINK(""https://lplfinancial.wd1.myworkdayjobs.com/university/job/San-Diego-CA/Internship-Summer-2026---Technology--Software-Development_R-046201?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
81.5,71.0,1,55,Apply Soon,3,The Wonderful Company,Wonderful Scholar Intern - EHS Data Management Analyst,"Delano, CA",8,5,4,10,"=HYPERLINK(""https://jobs.smartrecruiters.com/TheWonderfulCompany/744000112531316?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
81.0,76.0,2,64,Apply Soon,3,Fidelity Investments,Intern/Co-op Software Full Stack Engineer,"Merrimack, NH | Boston, MA | Smithfield, RI",8,7,6,10,"=HYPERLINK(""https://fmr.wd1.myworkdayjobs.com/targeted/job/Boston-MA/Co-op--Software-Full-Stack-Engineer_2125315?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
81.0,76.0,2,64,Apply Soon,3,Starburst,Software Engineering Intern,"Boston, MA",8,7,6,10,"=HYPERLINK(""https://job-boards.greenhouse.io/starburst/jobs/5123053008?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
81.0,76.0,2,64,Apply Soon,3,Analog Devices,AI/ML Design Layout Intern,"Boston, MA",8,7,6,10,"=HYPERLINK(""https://analogdevices.wd1.myworkdayjobs.com/External/job/US-MA-Boston/AI-ML-Design-Layout-Intern_R257312?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
81.0,76.0,2,64,Apply Soon,3,Argo Group,Data and Analytics Intern,NYC,8,7,6,10,"=HYPERLINK(""https://brookfield.wd5.myworkdayjobs.com/bpandc/job/US-NY---New-York-City/Intern---Data-and-Analytics_R2048607?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
80.5,77.0,1,59,Apply Soon,1,Cisco,AI/ML Modeling Engineer 1 2 Intern - United States,SF,8,7,6,8,"=HYPERLINK(""https://careers.cisco.com/global/en/job/2008899?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
80.5,77.0,1,59,Apply Soon,1,Cisco,AI Research Scientist 2 – Intern - United States,SF,8,7,6,8,"=HYPERLINK(""https://careers.cisco.com/global/en/job/2007516?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-25
80.5,77.0,1,59,Apply Soon,3,Cadence Design Systems,Software Intern,"San Jose, CA",8,7,6,8,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/SAN-JOSE/Software-Intern_R53282?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
80.5,77.0,1,59,Apply Soon,3,Trimble,Software Engineer Intern,"Atlanta, GA",8,7,6,8,"=HYPERLINK(""https://trimble.wd1.myworkdayjobs.com/en-US/TrimbleCareers/job/US---Atlanta-GA/Software-Engineer-Intern_R52484?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
80.5,77.0,1,59,Apply Soon,3,Kaiser Permanente,Software Development Bachelor's Intern,"Pleasanton, CA",8,7,6,8,"=HYPERLINK(""https://kp.taleo.net/careersection/external/jobdetail.ftl?job=1408501&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-25
80.5,77.0,1,59,Apply Soon,3,Tatari,Data Science BI – Intern,NYC | LA | SF,8,7,6,8,"=HYPERLINK(""https://job-boards.greenhouse.io/tatari/jobs/8443708002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-01
80.5,77.0,1,59,Apply Soon,3,Tatari,Data Science Business Intelligence Intern,LA,8,7,6,8,"=HYPERLINK(""https://job-boards.greenhouse.io/tatari/jobs/8443710002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-01
80.5,77.0,1,59,Apply Soon,3,Rigetti,Software Engineering Intern - Computer Vision & Automation,"Fremont, CA",8,7,6,8,"=HYPERLINK(""https://jobs.lever.co/rigetti/40442388-ca66-4899-ab45-d8a2658bd050/apply?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-01
80.5,77.0,1,59,Apply Soon,3,Elsevier,Data Scientist Intern,4 locationsNYC | Massachusetts | Pennsylvania | Florida,8,7,6,8,"=HYPERLINK(""https://relx.wd3.myworkdayjobs.com/ElsevierJobs/job/Pennsylvania/Data-Scientist-Intern_R109156?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
80.5,77.0,1,59,Apply Soon,3,Nokia,Care Data Analytics & AI Intern,"Dallas, TX",8,7,6,8,"=HYPERLINK(""https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31829?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
80.5,77.0,1,59,Apply Soon,3,Cypress Creek Renewables,ML Engineering Intern,"4 locationsWashington, DC | Durham, NC | NYC | SF",8,7,6,8,"=HYPERLINK(""https://ccrenew.com/careers/job-listing/?gh_jid=7659764&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
80.5,77.0,1,59,Apply Soon,3,Deluxe,Data Science Intern,"Atlanta, GA",8,7,6,8,"=HYPERLINK(""https://deluxe.wd5.myworkdayjobs.com/en-US/USA_CAN/job/Atlanta-GA-USA/Data-Science-Internship_260267WD?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
80.5,77.0,1,59,Apply Soon,3,Cadence Design Systems,AI & Chip Design Intern - Summer 2026,"San Jose, CA",8,7,6,8,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/External_Careers/job/SAN-JOSE/AI---Chip-Design-Intern--Summer-2026-_R53278-2?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
80.5,77.0,1,59,Apply Soon,3,Cadence Design Systems,AI & Chip Design Intern,"San Jose, CA",8,7,6,8,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/University_Talent/job/SAN-JOSE/AI---Chip-Design-Intern--Summer-2026-_R53278-3?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
80.5,77.0,1,59,Apply Soon,3,Cadence Design Systems,AI & Chip Design Intern - Summer 2026,"San Jose, CA",8,7,6,8,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/University_Talent_Intern/job/SAN-JOSE/AI---Chip-Design-Intern--Summer-2026-_R53278-4?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
80.5,77.0,1,59,Apply Soon,3,Cadence Design Systems,AI and Chip Design Intern,"San Jose, CA",8,7,6,8,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/SAN-JOSE/AI---Chip-Design-Intern--Summer-2026-_R53278-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
79.0,73.0,2,67,Apply Soon,3,Empower,Intern Software Engineer,"Boston, MA",6,7,4,10,"=HYPERLINK(""https://empower.wd12.myworkdayjobs.com/empower/job/MA-Boston---Federal-St/Summer-2026-Intern--Software-Engineer_R0056997?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
79.0,73.0,2,67,Apply Soon,3,SolarWinds,Software Engineer Intern,"Austin, TX",6,7,4,10,"=HYPERLINK(""https://jobs.solarwinds.com/job-detail/?gh_jid=4644519005&gh_jid=4644519005&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
79.0,73.0,2,67,Apply Soon,3,Toshiba Global Commerce,Agentic Software Engineering Intern,"Durham, NC",6,7,4,10,"=HYPERLINK(""https://job-boards.greenhouse.io/toshibaglobalcommercesolutions/jobs/5065014007?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
79.0,73.0,2,61,Apply Soon,3,Nasdaq,Data Analyst Intern,NYC,8,7,4,10,"=HYPERLINK(""https://nasdaq.wd1.myworkdayjobs.com/en-US/Global_External_Site/job/USA---New-York-City---New-York/Data-Analyst-Intern---2026-Summer-Internship_R0025450?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
79.0,73.0,2,61,Apply Soon,3,LPL Financial Holdings,Intern - Technology - Data & Analytics,"Fort Mill, SC | Charlotte, NC | Austin, TX",8,7,4,10,"=HYPERLINK(""https://lplfinancial.wd1.myworkdayjobs.com/university/job/Fort-MillCharlotte/Internship-Summer-2026---Technology--Data---Analytics_R-046202?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
79.0,73.0,2,61,Apply Soon,3,Vertex Pharmaceuticals,Data Technology and Engineering Intern - Dte Data Technology And Engineering,"Boston, MA",8,7,4,10,"=HYPERLINK(""https://vrtx.wd501.myworkdayjobs.com/vertex_careers/job/Boston-MA/Vertex-Fall-Co-op-2026--DTE--Data--Technology--and-Engineering-_REQ-28175-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
78.5,74.0,1,62,Apply Soon,3,RF-SMART,Software Developer Intern,"Highlands Ranch, CO",6,7,4,8,"=HYPERLINK(""https://job-boards.greenhouse.io/rfsmart/jobs/5099760008?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
78.5,74.0,1,56,Apply Soon,3,G2,Software Engineer Intern,"Chicago, IL",8,7,4,8,"=HYPERLINK(""https://jobs.ashbyhq.com/G2/08e0f861-21f9-4067-97de-5c3f683580a8/application?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
78.5,74.0,1,62,Apply Soon,3,KBR,SSMO Software Engineer Intern,"Lanham, MD",6,7,4,8,"=HYPERLINK(""https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Greenbelt-Maryland/SSMO-Software-Engineer-Intern_R2119666?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-26
78.5,74.0,1,56,Apply Soon,3,Solar Turbines,2026 Software Development Internship - Solutions. Platforms. Engineered - Spe,"San Diego, CA",8,7,4,8,"=HYPERLINK(""https://cat.wd5.myworkdayjobs.com/en-US/solarturbines/job/San-Diego-California/XMLNAME-2026-Software-Development-Internship--Solutions-Platforms-Engineered--SPE-_R0000353519?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-25
78.5,74.0,1,62,Apply Soon,3,First American,Data Science Intern,"Orange, CA",6,7,4,8,"=HYPERLINK(""https://firstam.wd1.myworkdayjobs.com/firstamericancareers/job/USA-California-Santa-Ana/Data-Science-Intern_R054724?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
78.5,74.0,1,56,Apply Soon,3,Samsung Research America,Intern - Bixby Edge AI - Language,"Mountain View, CA",8,7,4,8,"=HYPERLINK(""https://job-boards.greenhouse.io/samsungresearchamericainternship/jobs/8438583002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
78.5,74.0,1,62,Apply Soon,3,Schweitzer Engineering Laboratories,Data Analysis Intern,"Spokane, WA | Liberty Lake, WA",6,7,4,8,"=HYPERLINK(""https://selinc.wd1.myworkdayjobs.com/SEL/job/Washington---Spokane-Valley/Data-Analysis-Intern_2026-19825?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
78.5,74.0,1,62,Apply Soon,3,Inogen,IT Data Security Analyst Intern,"Plano, TX",6,7,4,8,"=HYPERLINK(""https://jobs.jobvite.com/inogen/job/oJ8IzfwS?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-26
78.5,74.0,1,62,Apply Soon,3,Inogen,IT Data & AI Intern,"Plano, TX",6,7,4,8,"=HYPERLINK(""https://jobs.jobvite.com/inogen/job/om7Izfwu?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-26
78.0,65.5,1,57,Apply Soon,3,LPL Financial Holdings,2026 Summer Internship-Client Success Data Summer Intern,"San Diego, CA",6,4,3,10,"=HYPERLINK(""https://lplfinancial.wd1.myworkdayjobs.com/university/job/San-Diego/XMLNAME-2026-Summer-Internship--Client-Success-Data-Summer-Intern_R-047338?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
78.0,65.5,1,50,Apply Soon,3,The Wonderful Company,Intern - EHS Data Management Analyst,"Delano, CA",8,4,3,10,"=HYPERLINK(""https://jobs.smartrecruiters.com/TheWonderfulCompany/744000112531327?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
77.5,70.5,2,62,Apply Soon,3,Toshiba Global Commerce,Data Analytics Intern,"Durham, NC",7,6,5,10,"=HYPERLINK(""https://job-boards.greenhouse.io/toshibaglobalcommercesolutions/jobs/5059322007?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
76.5,69.0,2,58,Apply Soon,3,New York Post Holdings,Software Engineer Intern,NYC,8,6,4,10,"=HYPERLINK(""https://dowjones.wd1.myworkdayjobs.com/New_York_Post_Careers/job/NYC---1211-Ave-of-the-Americas/Software-Engineering-Intern_Job_Req_51878?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
76.0,70.0,1,53,Apply Soon,3,Cadence Design Systems,Software Intern,"San Jose, CA",8,6,4,8,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/External_Careers/job/SAN-JOSE/Software-Intern_R53282-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
76.0,70.0,1,53,Apply Soon,3,Marmon Holdings,Business/Data Analyst Intern,"Chicago, IL",8,6,4,8,"=HYPERLINK(""https://marmon.wd501.myworkdayjobs.com/Marmon_Careers/job/Chicago-IL/Business-Data-Analyst-Intern_JR0000041432-2?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
74.0,63.0,1,48,Apply Soon,3,Dentsu,Dentsu Summer Experience Program – Internships in Customer Data Services,"Chicago, IL",8,4,3,9,"=HYPERLINK(""https://dentsuaegis.wd3.myworkdayjobs.com/DAN_GLOBAL/job/Chicago/Dentsu-Summer-Experience-Program---Internships-in-Customer-Data-Services_R1117227?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
73.5,70.0,3,64,Apply Soon,3,ZoomInfo,Software Engineer Intern - Platform,"Bethesda, MD",8,7,6,10,"=HYPERLINK(""https://www.zoominfo.com/careers?gh_jid=8422488002&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
73.5,70.0,3,64,Apply Soon,3,Leidos,Software Engineer Intern,"Morgantown, WV | Reston, VA",8,7,6,10,"=HYPERLINK(""https://leidos.wd5.myworkdayjobs.com/External/job/Reston-VA/Software-Engineer-Intern_R-00176962?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
73.5,70.0,3,64,Apply Soon,3,Nokia,Software Dev Intern,"Naperville, IL",8,7,6,10,"=HYPERLINK(""https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/29343?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
73.5,70.0,3,64,Apply Soon,3,General Dynamics Mission Systems,Software Engineer Intern - Strategic Systems,"Dedham, MA",8,7,6,10,"=HYPERLINK(""https://careers-gdms.icims.com/jobs/71212/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
73.5,70.0,3,64,Apply Soon,3,Scout Motors,Intern – Information Technology - Data Engineer,"Charlotte, NC",8,7,6,10,"=HYPERLINK(""https://job-boards.greenhouse.io/scoutmotors/jobs/5068176007?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
73.5,70.0,3,64,Apply Soon,3,Elsevier,AI & Data Engineering Intern,Pennsylvania,8,7,6,10,"=HYPERLINK(""https://relx.wd3.myworkdayjobs.com/ElsevierJobs/job/Pennsylvania/AI---Data-Engineering-Intern_R109956?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
73.5,70.0,3,64,Apply Soon,3,RTX,Machine Learning for Fluid Dynamics Intern,"Hartford, CT",8,7,6,10,"=HYPERLINK(""https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-EAST-HARTFORD-RTRC-K--411-Silver-Ln--RTRC-K/Machine-Learning-for-Fluid-Dynamics-Summer-Internship_01827891?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
73.5,70.0,3,64,Apply Soon,3,Robert Bosch Venture Capital,Sales Team Data Science Intern,"Southfield, MI",8,7,6,10,"=HYPERLINK(""https://jobs.smartrecruiters.com/BoschGroup/744000112487213?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
73.5,70.0,3,64,Apply Soon,3,RTX,Software Engineering Intern,"Cedar Rapids, IA",8,7,6,10,"=HYPERLINK(""https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-IA-CEDAR-RAPIDS-121--350-Collins-Rd-NE--BLDG-121/Software-Engineering-Internship--Summer-2026---Onsite-_01796149-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
73.0,71.0,2,59,Apply Soon,3,Cadence Design Systems,Intern-Software Engineering,"Austin, TX",8,7,6,8,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/External_Careers/job/AUSTIN/Intern-Software-Engineering_R53488?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
73.0,71.0,2,59,Apply Soon,3,Cadence Design Systems,Intern-Software Engineering,"Austin, TX",8,7,6,8,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/AUSTIN/Intern-Software-Engineering_R53488-2?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
